Datum Zeit; Annaberg-Buchholz PM10; Bautzen PM10; Borna PM10; Brockau PM10
; µg/m³; µg/m³; µg/m³; µg/m³
16-03-16; 15; n. def.; 24; 22
15-03-16; 12; n. def.; 22; 13
14-03-16; 18; n. def.; 29; 18
13-03-16; 7; n. def.; 24; 17
12-03-16; 11; n. def.; 16; 11
11-03-16; 21; n. def.; 35; 27
10-03-16; 23; n. def.; 48; 41
09-03-16; 16; n. def.; 27; 28
08-03-16; 13; n. def.; 35; n. def.
07-03-16; 5; n. def.; 13; n. def.
06-03-16; 5; n. def.; 10; 14
05-03-16; 14; n. def.; 28; 24
04-03-16; 7; n. def.; 16; 13
03-03-16; 6; n. def.; 14; 9
02-03-16; 5; n. def.; 9; 9
01-03-16; 15; n. def.; 25; 23
29-02-16; 17; n. def.; 37; 31
28-02-16; 26; n. def.; 49; 46
27-02-16; 17; n. def.; 26; 22
26-02-16; 8; n. def.; 19; 17
25-02-16; 6; n. def.; 16; 14
24-02-16; 5; n. def.; 9; 6
23-02-16; 3; n. def.; 7; 5
22-02-16; 3; n. def.; 4; 2
21-02-16; 1; n. def.; 2; 2
20-02-16; 6; n. def.; 9; 10
19-02-16; 15; n. def.; 31; 30
18-02-16; 9; n. def.; 17; 16
17-02-16; 8; n. def.; 19; 23
16-02-16; 6; n. def.; 13; 9
15-02-16; 6; n. def.; 12; 11
14-02-16; 3; n. def.; 7; 15
13-02-16; 10; n. def.; 18; 21
12-02-16; 5; n. def.; 14; 13
11-02-16; 3; n. def.; 7; 7
10-02-16; 2; n. def.; 4; n. def.
09-02-16; 3; n. def.; 4; n. def.
08-02-16; 3; n. def.; 4; 3
07-02-16; 9; n. def.; 13; 12
06-02-16; 5; n. def.; 7; 6
05-02-16; 3; n. def.; 9; 9
04-02-16; 4; n. def.; 6; 6
03-02-16; 4; n. def.; 7; 7
02-02-16; 2; n. def.; 5; 2
01-02-16; 2; n. def.; 6; 4
31-01-16; 3; n. def.; 6; 6
30-01-16; 3; n. def.; 5; 4
29-01-16; 6; n. def.; 13; 9
28-01-16; 5; n. def.; 13; 7
27-01-16; 6; n. def.; 10; 7
26-01-16; 8; n. def.; 13; 12
25-01-16; 1; n. def.; 7; 7
24-01-16; 4; n. def.; 11; 12
23-01-16; 7; n. def.; 19; 19
22-01-16; 5; n. def.; 18; 20
21-01-16; 6; n. def.; 23; 13
20-01-16; 11; n. def.; 26; 27
19-01-16; 12; n. def.; 27; 21
18-01-16; 6; n. def.; 22; 14
17-01-16; 6; n. def.; 18; 17
16-01-16; 9; n. def.; 20; 19
15-01-16; 3; n. def.; 9; 10
14-01-16; 6; n. def.; 9; 8
13-01-16; 2; n. def.; 4; 3
